round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1650,stage2.block2,18560,7776,10,0.041896551724137934,0.005198416765779257,event_t0125_q005,4200,94200
1650,stage3.block1,57728,19875,10,0.03442870011086475,0.0052521897479891775,event_t0125_q005,4200,94200
1650,stage3.block2,73984,20171,10,0.02726400302768166,0.005736586311832071,event_t0125_q005,4200,94200
1650,head,650,562,10,0.08646153846153846,0.00623136512003839,event_t0125_q005,4200,94200
1651,stem,464,1059,10,0.22823275862068965,0.008334179362282156,event_t0125_q005,4200,94200
1651,stage1.block1,4672,3339,10,0.07146832191780822,0.0056279267650097605,event_t0125_q005,4200,94200
1651,stage1.block2,4672,2176,10,0.04657534246575343,0.005267249885946512,event_t0125_q005,4200,94200
1651,stage2.block1,14528,7058,10,0.04858204845814978,0.005262925429269672,event_t0125_q005,4200,94200
1651,stage2.block2,18560,6743,10,0.03633081896551724,0.005104401055723429,event_t0125_q005,4200,94200
1651,stage3.block1,57728,17977,10,0.03114086751662971,0.005215948820114136,event_t0125_q005,4200,94200
1651,stage3.block2,73984,19652,10,0.0265625,0.005732487048953771,event_t0125_q005,4200,94200
1651,head,650,580,10,0.08923076923076922,0.006281782826408744,event_t0125_q005,4200,94200
1652,stem,464,1216,10,0.2620689655172414,0.008935476141050457,event_t0125_q005,4200,94200
1652,stage1.block1,4672,3214,10,0.06879280821917808,0.005619286559522152,event_t0125_q005,4200,94200
1652,stage1.block2,4672,2309,10,0.04942208904109589,0.005309241916984319,event_t0125_q005,4200,94200
1652,stage2.block1,14528,7342,10,0.050536894273127755,0.005304028792306781,event_t0125_q005,4200,94200
1652,stage2.block2,18560,7358,10,0.03964439655172414,0.005165551509708166,event_t0125_q005,4200,94200
1652,stage3.block1,57728,19506,10,0.0337894955654102,0.005262465588748455,event_t0125_q005,4200,94200
1652,stage3.block2,73984,20692,10,0.027968209342560554,0.005762686859816313,event_t0125_q005,4200,94200
1652,head,650,591,10,0.09092307692307693,0.006244344357401133,event_t0125_q005,4200,94200
1653,stem,464,1074,10,0.23146551724137931,0.008488766895607115,event_t0125_q005,4200,94200
1653,stage1.block1,4672,3954,10,0.0846318493150685,0.005898656696081162,event_t0125_q005,4200,94200
1653,stage1.block2,4672,2485,10,0.053189212328767124,0.005380440130829811,event_t0125_q005,4200,94200
1653,stage2.block1,14528,8386,10,0.05772301762114537,0.0054152162279933694,event_t0125_q005,4200,94200
1653,stage2.block2,18560,8577,10,0.046212284482758624,0.00527933775447309,event_t0125_q005,4200,94200
1653,stage3.block1,57728,21926,10,0.037981568736141905,0.005334025248885155,event_t0125_q005,4200,94200
1653,stage3.block2,73984,22819,10,0.03084315527681661,0.005805609142407775,event_t0125_q005,4200,94200
1653,head,650,661,10,0.10169230769230769,0.006411866936832667,event_t0125_q005,4200,94200
1654,stem,464,1140,10,0.24568965517241378,0.008608357794582844,event_t0125_q005,4200,94200
1654,stage1.block1,4672,3425,10,0.07330907534246575,0.005638796510174871,event_t0125_q005,4200,94200
1654,stage1.block2,4672,2007,10,0.04295804794520548,0.0051945735234767195,event_t0125_q005,4200,94200
1654,stage2.block1,14528,7256,10,0.04994493392070484,0.0052911786828190085,event_t0125_q005,4200,94200
1654,stage2.block2,18560,7226,10,0.038933189655172416,0.005153536284342408,event_t0125_q005,4200,94200
1654,stage3.block1,57728,19268,10,0.03337721729490022,0.005259206611663103,event_t0125_q005,4200,94200
1654,stage3.block2,73984,19644,10,0.026551686851211072,0.005748271336778998,event_t0125_q005,4200,94200
1654,head,650,540,10,0.08307692307692308,0.006112540839239955,event_t0125_q005,4200,94200
1655,stem,464,1263,10,0.27219827586206896,0.009116567438468337,event_t0125_q005,4200,94200
1655,stage1.block1,4672,3827,10,0.08191352739726028,0.005791493784636259,event_t0125_q005,4200,94200
1655,stage1.block2,4672,2243,10,0.04800941780821918,0.005276794778183103,event_t0125_q005,4200,94200
1655,stage2.block1,14528,8314,10,0.05722742290748899,0.005394344078376889,event_t0125_q005,4200,94200
1655,stage2.block2,18560,7761,10,0.04181573275862069,0.005190037656575441,event_t0125_q005,4200,94200
1655,stage3.block1,57728,19276,10,0.03339107538802661,0.0052521950099617245,event_t0125_q005,4200,94200
1655,stage3.block2,73984,19619,10,0.026517895761245674,0.0057332820259034635,event_t0125_q005,4200,94200
1655,head,650,501,10,0.07707692307692307,0.005984394531697035,event_t0125_q005,4200,94200
1656,stem,464,1078,10,0.23232758620689656,0.008531997306272387,event_t0125_q005,4200,94200
1656,stage1.block1,4672,3477,10,0.07442208904109589,0.005673417635262012,event_t0125_q005,4200,94200
1656,stage1.block2,4672,2208,10,0.04726027397260274,0.0052622833754867315,event_t0125_q005,4200,94200
1656,stage2.block1,14528,7434,10,0.05117015418502203,0.0053139097522944215,event_t0125_q005,4200,94200
1656,stage2.block2,18560,7122,10,0.038372844827586204,0.005140339862555266,event_t0125_q005,4200,94200
